problem_id,problem_index,plan_index,num_codes,num_passed_codes,q_binary,q_tpr,has_any_pass,stable_050,stable_075,stable_100,num_generation_errors,num_parsing_errors,num_evaluation_errors,num_wrong_answer,num_runtime_error,num_tle,num_pass_status
deepcoder_taco_00864,7,5,4,0,0.0,0.0,0,0,0,0,0,0,0,1,3,0,0
deepcoder_taco_00864,7,6,4,0,0.0,0.0,0,0,0,0,0,0,0,2,2,0,0
deepcoder_taco_00864,7,7,4,0,0.0,0.0,0,0,0,0,0,0,0,1,3,0,0
deepcoder_taco_00402,8,0,4,0,0.0,0.025,0,0,0,0,0,0,0,4,0,0,0
deepcoder_taco_00402,8,1,4,0,0.0,0.025,0,0,0,0,0,0,0,4,0,0,0
deepcoder_taco_00402,8,2,4,0,0.0,0.1,0,0,0,0,0,0,0,4,0,0,0
deepcoder_taco_00402,8,3,4,0,0.0,0.05,0,0,0,0,0,0,0,4,0,0,0
deepcoder_taco_00402,8,4,4,0,0.0,0.025,0,0,0,0,0,0,0,4,0,0,0
deepcoder_taco_00402,8,5,4,0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0
deepcoder_taco_00402,8,6,4,0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0
deepcoder_taco_00402,8,7,4,0,0.0,0.1,0,0,0,0,0,0,0,4,0,0,0
deepcoder_taco_00600,9,0,4,0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0
deepcoder_taco_00600,9,1,4,0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0
deepcoder_taco_00600,9,2,4,0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0
deepcoder_taco_00600,9,3,4,0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0
deepcoder_taco_00600,9,4,4,0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0
deepcoder_taco_00600,9,5,4,0,0.0,0.0,0,0,0,0,0,0,0,2,2,0,0
deepcoder_taco_00600,9,6,4,0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0
deepcoder_taco_00600,9,7,4,0,0.0,0.0,0,0,0,0,0,0,0,2,2,0,0
