problem_id,plan_index,reward_type,M,q_full,reward_profile,mean_abs_error_m1_vs_m4,mean_abs_error_m1_vs_loo,min_single_reward,max_single_reward,single_reward_range
deepcoder_taco_00039,6,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00039,7,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00554,0,tpr,4,0.05,0.0000 | 0.2000 | 0.0000 | 0.0000,0.07500000000000001,0.1,0.0,0.2,0.2
deepcoder_taco_00554,1,tpr,4,0.15,0.0000 | 0.3000 | 0.3000 | 0.0000,0.15,0.2,0.0,0.3,0.3
deepcoder_taco_00554,2,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00554,3,tpr,4,0.05,0.0000 | 0.2000 | 0.0000 | 0.0000,0.07500000000000001,0.1,0.0,0.2,0.2
deepcoder_taco_00554,4,tpr,4,0.15,0.0000 | 0.0000 | 0.3000 | 0.3000,0.15,0.2,0.0,0.3,0.3
deepcoder_taco_00554,5,tpr,4,0.1,0.4000 | 0.0000 | 0.0000 | 0.0000,0.15000000000000002,0.2,0.0,0.4,0.4
deepcoder_taco_00554,6,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00554,7,tpr,4,0.15,0.0000 | 0.3000 | 0.0000 | 0.3000,0.15,0.2,0.0,0.3,0.3
deepcoder_taco_00098,0,tpr,4,0.6,0.2000 | 1.0000 | 1.0000 | 0.2000,0.4,0.5333333333333334,0.2,1.0,0.8
deepcoder_taco_00098,1,tpr,4,0.15000000000000002,0.1000 | 0.2000 | 0.2000 | 0.1000,0.05,0.06666666666666668,0.1,0.2,0.1
deepcoder_taco_00098,2,tpr,4,0.2,0.0000 | 0.1000 | 0.3000 | 0.4000,0.15,0.2,0.0,0.4,0.4
deepcoder_taco_00098,3,tpr,4,0.15000000000000002,0.2000 | 0.1000 | 0.1000 | 0.2000,0.05,0.06666666666666668,0.1,0.2,0.1
deepcoder_taco_00098,4,tpr,4,0.375,0.0000 | 0.3000 | 0.2000 | 1.0000,0.3125,0.4166666666666667,0.0,1.0,1.0
deepcoder_taco_00098,5,tpr,4,0.85,0.4000 | 1.0000 | 1.0000 | 1.0000,0.225,0.29999999999999993,0.4,1.0,0.6
deepcoder_taco_00098,6,tpr,4,1.0,1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0,0.0
deepcoder_taco_00098,7,tpr,4,0.425,0.1000 | 0.5000 | 1.0000 | 0.1000,0.32499999999999996,0.43333333333333335,0.1,1.0,0.9
deepcoder_taco_00864,0,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00864,1,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00864,2,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00864,3,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00864,4,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00864,5,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00864,6,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00864,7,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00402,0,tpr,4,0.025,0.0000 | 0.0000 | 0.1000 | 0.0000,0.037500000000000006,0.05,0.0,0.1,0.1
deepcoder_taco_00402,1,tpr,4,0.025,0.0000 | 0.0000 | 0.0000 | 0.1000,0.037500000000000006,0.05,0.0,0.1,0.1
deepcoder_taco_00402,2,tpr,4,0.1,0.1000 | 0.1000 | 0.1000 | 0.1000,0.0,0.0,0.1,0.1,0.0
deepcoder_taco_00402,3,tpr,4,0.05,0.1000 | 0.0000 | 0.1000 | 0.0000,0.05,0.06666666666666668,0.0,0.1,0.1
deepcoder_taco_00402,4,tpr,4,0.025,0.0000 | 0.0000 | 0.1000 | 0.0000,0.037500000000000006,0.05,0.0,0.1,0.1
deepcoder_taco_00402,5,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00402,6,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00402,7,tpr,4,0.1,0.1000 | 0.1000 | 0.1000 | 0.1000,0.0,0.0,0.1,0.1,0.0
deepcoder_taco_00600,0,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00600,1,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00600,2,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00600,3,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00600,4,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00600,5,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00600,6,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00600,7,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00211,0,tpr,4,0.475,0.2000 | 0.7000 | 0.2000 | 0.8000,0.275,0.36666666666666664,0.2,0.8,0.6000000000000001
deepcoder_taco_00211,1,tpr,4,0.2,0.2000 | 0.2000 | 0.2000 | 0.2000,0.0,0.0,0.2,0.2,0.0
deepcoder_taco_00211,2,tpr,4,0.675,0.6000 | 0.6000 | 0.9000 | 0.6000,0.11250000000000004,0.15,0.6,0.9,0.30000000000000004
deepcoder_taco_00211,3,tpr,4,0.275,0.2000 | 0.5000 | 0.2000 | 0.2000,0.1125,0.14999999999999997,0.2,0.5,0.3
deepcoder_taco_00211,4,tpr,4,0.5249999999999999,0.7000 | 0.0000 | 0.7000 | 0.7000,0.2625,0.35,0.0,0.7,0.7
deepcoder_taco_00211,5,tpr,4,0.15000000000000002,0.2000 | 0.0000 | 0.2000 | 0.2000,0.075,0.1,0.0,0.2,0.2
deepcoder_taco_00211,6,tpr,4,0.2,0.2000 | 0.2000 | 0.2000 | 0.2000,0.0,0.0,0.2,0.2,0.0
deepcoder_taco_00211,7,tpr,4,0.2,0.2000 | 0.2000 | 0.2000 | 0.2000,0.0,0.0,0.2,0.2,0.0
deepcoder_taco_00929,0,tpr,4,0.75,0.0000 | 1.0000 | 1.0000 | 1.0000,0.375,0.5,0.0,1.0,1.0
deepcoder_taco_00929,1,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00929,2,tpr,4,0.75,1.0000 | 0.0000 | 1.0000 | 1.0000,0.375,0.5,0.0,1.0,1.0
deepcoder_taco_00929,3,tpr,4,0.25,1.0000 | 0.0000 | 0.0000 | 0.0000,0.375,0.5,0.0,1.0,1.0
deepcoder_taco_00929,4,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00929,5,tpr,4,0.25,0.0000 | 1.0000 | 0.0000 | 0.0000,0.375,0.5,0.0,1.0,1.0
deepcoder_taco_00929,6,tpr,4,0.25,0.0000 | 1.0000 | 0.0000 | 0.0000,0.375,0.5,0.0,1.0,1.0
deepcoder_taco_00929,7,tpr,4,0.5,0.0000 | 1.0000 | 1.0000 | 0.0000,0.5,0.6666666666666667,0.0,1.0,1.0
deepcoder_taco_00476,0,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00476,1,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00476,2,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00476,3,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00476,4,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00476,5,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00476,6,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00476,7,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00699,0,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00699,1,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00699,2,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00699,3,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00699,4,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00699,5,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00699,6,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00699,7,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00783,0,tpr,4,1.0,1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0,0.0
deepcoder_taco_00783,1,tpr,4,1.0,1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0,0.0
deepcoder_taco_00783,2,tpr,4,1.0,1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0,0.0
deepcoder_taco_00783,3,tpr,4,1.0,1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0,0.0
deepcoder_taco_00783,4,tpr,4,1.0,1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0,0.0
deepcoder_taco_00783,5,tpr,4,1.0,1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0,0.0
deepcoder_taco_00783,6,tpr,4,1.0,1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0,0.0
deepcoder_taco_00783,7,tpr,4,0.7,0.9000 | 0.0000 | 0.9000 | 1.0000,0.35000000000000003,0.4666666666666667,0.0,1.0,1.0
deepcoder_taco_00575,0,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00575,1,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00575,2,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00575,3,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00575,4,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00575,5,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00575,6,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00575,7,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00874,0,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00874,1,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00874,2,tpr,4,0.1,0.0000 | 0.0000 | 0.3000 | 0.1000,0.1,0.13333333333333333,0.0,0.3,0.3
deepcoder_taco_00874,3,tpr,4,0.125,0.3000 | 0.2000 | 0.0000 | 0.0000,0.125,0.16666666666666666,0.0,0.3,0.3
deepcoder_taco_00874,4,tpr,4,0.07500000000000001,0.1000 | 0.1000 | 0.1000 | 0.0000,0.0375,0.05,0.0,0.1,0.1
deepcoder_taco_00874,5,tpr,4,0.07500000000000001,0.2000 | 0.1000 | 0.0000 | 0.0000,0.07500000000000001,0.1,0.0,0.2,0.2
deepcoder_taco_00874,6,tpr,4,0.25,0.0000 | 0.0000 | 1.0000 | 0.0000,0.375,0.5,0.0,1.0,1.0
deepcoder_taco_00874,7,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00057,0,tpr,4,0.25,1.0000 | 0.0000 | 0.0000 | 0.0000,0.375,0.5,0.0,1.0,1.0
deepcoder_taco_00057,1,tpr,4,0.4,0.0000 | 0.6000 | 1.0000 | 0.0000,0.4,0.5333333333333333,0.0,1.0,1.0
deepcoder_taco_00057,2,tpr,4,0.25,0.0000 | 1.0000 | 0.0000 | 0.0000,0.375,0.5,0.0,1.0,1.0
deepcoder_taco_00057,3,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00057,4,tpr,4,0.35,0.0000 | 0.4000 | 0.0000 | 1.0000,0.35,0.4666666666666667,0.0,1.0,1.0
deepcoder_taco_00057,5,tpr,4,0.5,1.0000 | 0.0000 | 0.0000 | 1.0000,0.5,0.6666666666666667,0.0,1.0,1.0
deepcoder_taco_00057,6,tpr,4,0.5,1.0000 | 0.0000 | 0.0000 | 1.0000,0.5,0.6666666666666667,0.0,1.0,1.0
deepcoder_taco_00057,7,tpr,4,0.5,1.0000 | 1.0000 | 0.0000 | 0.0000,0.5,0.6666666666666667,0.0,1.0,1.0
deepcoder_taco_00845,0,tpr,4,0.25,1.0000 | 0.0000 | 0.0000 | 0.0000,0.375,0.5,0.0,1.0,1.0
deepcoder_taco_00845,1,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00845,2,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00845,3,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00845,4,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00845,5,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00845,6,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00845,7,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00379,0,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00379,1,tpr,4,0.9,1.0000 | 1.0000 | 0.8000 | 0.8000,0.09999999999999998,0.1333333333333333,0.8,1.0,0.19999999999999996
deepcoder_taco_00379,2,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00379,3,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00379,4,tpr,4,0.4,0.0000 | 0.0000 | 0.8000 | 0.8000,0.4,0.5333333333333334,0.0,0.8,0.8
deepcoder_taco_00379,5,tpr,4,0.65,0.8000 | 0.0000 | 0.8000 | 1.0000,0.325,0.43333333333333335,0.0,1.0,1.0
deepcoder_taco_00379,6,tpr,4,0.2,0.0000 | 0.0000 | 0.8000 | 0.0000,0.30000000000000004,0.4,0.0,0.8,0.8
deepcoder_taco_00379,7,tpr,4,0.6000000000000001,0.8000 | 0.8000 | 0.0000 | 0.8000,0.3,0.4,0.0,0.8,0.8
deepcoder_taco_00515,0,tpr,4,0.75,1.0000 | 1.0000 | 0.0000 | 1.0000,0.375,0.5,0.0,1.0,1.0
deepcoder_taco_00515,1,tpr,4,1.0,1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0,0.0
deepcoder_taco_00515,2,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00515,3,tpr,4,0.25,0.0000 | 0.0000 | 1.0000 | 0.0000,0.375,0.5,0.0,1.0,1.0
deepcoder_taco_00515,4,tpr,4,0.75,1.0000 | 0.0000 | 1.0000 | 1.0000,0.375,0.5,0.0,1.0,1.0
deepcoder_taco_00515,5,tpr,4,0.125,0.0000 | 0.5000 | 0.0000 | 0.0000,0.1875,0.25,0.0,0.5,0.5
deepcoder_taco_00515,6,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00515,7,tpr,4,0.25,1.0000 | 0.0000 | 0.0000 | 0.0000,0.375,0.5,0.0,1.0,1.0
deepcoder_taco_00907,0,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00907,1,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00907,2,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00907,3,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00907,4,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00907,5,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00907,6,tpr,4,0.1,0.0000 | 0.0000 | 0.4000 | 0.0000,0.15000000000000002,0.2,0.0,0.4,0.4
deepcoder_taco_00907,7,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00395,0,tpr,4,0.25,0.0000 | 1.0000 | 0.0000 | 0.0000,0.375,0.5,0.0,1.0,1.0
deepcoder_taco_00395,1,tpr,4,0.5,1.0000 | 0.0000 | 0.0000 | 1.0000,0.5,0.6666666666666667,0.0,1.0,1.0
deepcoder_taco_00395,2,tpr,4,1.0,1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0,0.0
deepcoder_taco_00395,3,tpr,4,0.25,0.0000 | 0.0000 | 0.0000 | 1.0000,0.375,0.5,0.0,1.0,1.0
deepcoder_taco_00395,4,tpr,4,0.5,0.0000 | 1.0000 | 0.0000 | 1.0000,0.5,0.6666666666666667,0.0,1.0,1.0
deepcoder_taco_00395,5,tpr,4,0.5,0.0000 | 0.0000 | 1.0000 | 1.0000,0.5,0.6666666666666667,0.0,1.0,1.0
deepcoder_taco_00395,6,tpr,4,0.25,0.0000 | 0.0000 | 1.0000 | 0.0000,0.375,0.5,0.0,1.0,1.0
deepcoder_taco_00395,7,tpr,4,0.5,1.0000 | 0.0000 | 1.0000 | 0.0000,0.5,0.6666666666666667,0.0,1.0,1.0
deepcoder_taco_00535,0,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00535,1,tpr,4,0.575,0.7000 | 0.2000 | 0.7000 | 0.7000,0.1875,0.24999999999999994,0.2,0.7,0.49999999999999994
deepcoder_taco_00535,2,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00535,3,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00535,4,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00535,5,tpr,4,0.6499999999999999,0.7000 | 0.7000 | 0.5000 | 0.7000,0.07500000000000001,0.09999999999999998,0.5,0.7,0.19999999999999996
deepcoder_taco_00535,6,tpr,4,0.7,0.7000 | 0.7000 | 0.7000 | 0.7000,0.0,0.0,0.7,0.7,0.0
deepcoder_taco_00535,7,tpr,4,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000,0.0,0.0,0.0,0.0,0.0
deepcoder_taco_00707,0,tpr,4,1.0,1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0,0.0
