group,num_problems,mean_q_binary,mean_best_q_binary,mean_best_mean_gap_binary,mean_q_tpr,mean_best_q_tpr,mean_best_mean_gap_tpr,mean_between_plan_var_binary,mean_within_plan_coder_var_binary,between_share_binary,within_share_binary,mean_between_plan_var_tpr,mean_num_usable_plans,mean_num_stable_075_plans,binary_zero_tpr_positive_rate,binary_zero_tpr_ge_025_rate,binary_zero_tpr_ge_050_rate,best_plan_index_disagreement_rate
ALL,100,0.121875,0.2625,0.140625,0.1903125,0.36875,0.1784375,0.0226171875,0.02890625,0.4389689158453373,0.5610310841546626,0.0226294921875,1.63,0.73,0.33124018838304553,0.09105180533751962,0.03610675039246468,0.4
NO_COVERAGE,61,0.0,0.0,0.0,0.03934426229508197,0.10655737704918034,0.06721311475409836,0.0,0.0,0.0,0.0,0.004469454405737705,0.0,0.0,0.2766393442622951,0.036885245901639344,0.014344262295081968,0.5081967213114754
ANY_COVERAGE,39,0.3125,0.6730769230769231,0.3605769230769231,0.4264423076923077,0.7788461538461539,0.3524038461538462,0.057992788461538464,0.07411858974358974,0.4389689158453374,0.5610310841546626,0.05103365384615385,4.17948717948718,1.8717948717948718,0.5100671140939598,0.2684563758389262,0.10738255033557047,0.23076923076923078
UNSTABLE_COVERAGE,17,0.08272058823529412,0.3382352941176471,0.2555147058823529,0.26544117647058824,0.5808823529411765,0.3154411764705882,0.016486672794117647,0.0546875,0.23163841807909608,0.768361581920904,0.03582720588235294,2.176470588235294,0.0,0.5757575757575758,0.3333333333333333,0.13131313131313133,0.5294117647058824
STABLE_COVERAGE,22,0.4900568181818182,0.9318181818181818,0.44176136363636365,0.5508522727272728,0.9318181818181818,0.3809659090909091,0.09006569602272728,0.08913352272727272,0.5026009412930394,0.4973990587069606,0.06278409090909091,5.7272727272727275,3.3181818181818183,0.38,0.14,0.06,0.0
