problem_id,coverage_group,num_plans,num_codes_per_plan,mean_q_binary,best_q_binary,best_mean_gap_binary,mean_q_tpr,best_q_tpr,best_mean_gap_tpr,between_plan_var_binary,within_plan_coder_var_binary,between_share_binary,within_share_binary,between_plan_var_tpr,num_usable_plans,num_stable_050_plans,num_stable_075_plans,num_perfect_plans,num_binary_zero_plans,num_binary_zero_tpr_positive,binary_zero_tpr_positive_rate,num_binary_zero_tpr_ge_025,binary_zero_tpr_ge_025_rate,num_binary_zero_tpr_ge_050,binary_zero_tpr_ge_050_rate,best_binary_plan_index,best_tpr_plan_index,best_plan_index_disagreement,binary_profile,q_binary_profile,q_tpr_profile
deepcoder_taco_00212,NO_COVERAGE,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0.0,0,0.0,0,0.0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00216,NO_COVERAGE,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0.0,0,0.0,0,0.0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00229,NO_COVERAGE,8,4,0.0,0.0,0.0,0.11250000000000002,0.2,0.0875,0.0,0.0,0.0,0.0,0.0054687500000000005,0,0,0,0,8,6,0.75,0,0.0,0,0.0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.2000 | 0.1000 | 0.1500 | 0.1500 | 0.0000 | 0.0000 | 0.2000 | 0.1000
deepcoder_taco_00231,NO_COVERAGE,8,4,0.0,0.0,0.0,0.05,0.2,0.15000000000000002,0.0,0.0,0.0,0.0,0.005000000000000001,0,0,0,0,8,3,0.375,0,0.0,0,0.0,0,5,1,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.1000 | 0.1000 | 0.0000 | 0.0000 | 0.2000 | 0.0000 | 0.0000
deepcoder_taco_00239,NO_COVERAGE,8,4,0.0,0.0,0.0,0.0125,0.1,0.08750000000000001,0.0,0.0,0.0,0.0,0.00109375,0,0,0,0,8,1,0.125,0,0.0,0,0.0,0,6,1,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.1000 | 0.0000
deepcoder_taco_00251,NO_COVERAGE,8,4,0.0,0.0,0.0,0.046875,0.2,0.153125,0.0,0.0,0.0,0.0,0.004130859375,0,0,0,0,8,4,0.5,0,0.0,0,0.0,0,5,1,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0500 | 0.0000 | 0.0000 | 0.0000 | 0.0500 | 0.2000 | 0.0750 | 0.0000
deepcoder_taco_00280,NO_COVERAGE,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0.0,0,0.0,0,0.0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00301,UNSTABLE_COVERAGE,8,4,0.03125,0.25,0.21875,0.115625,0.45,0.334375,0.0068359375,0.0234375,0.22580645161290322,0.7741935483870968,0.026083984375,1,0,0,0,7,2,0.2857142857142857,1,0.14285714285714285,0,0.0,5,1,1,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 1/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.2500 | 0.0000 | 0.0000,0.2250 | 0.4500 | 0.0000 | 0.0000 | 0.0000 | 0.2500 | 0.0000 | 0.0000
deepcoder_taco_00330,NO_COVERAGE,8,4,0.0,0.0,0.0,0.153125,0.30000000000000004,0.14687500000000003,0.0,0.0,0.0,0.0,0.010068359375000002,0,0,0,0,8,8,1.0,2,0.25,0,0.0,0,6,1,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.1250 | 0.0750 | 0.0250 | 0.2750 | 0.2000 | 0.2000 | 0.3000 | 0.0250
deepcoder_taco_00334,NO_COVERAGE,8,4,0.0,0.0,0.0,0.0125,0.075,0.0625,0.0,0.0,0.0,0.0,0.000625,0,0,0,0,8,2,0.25,0,0.0,0,0.0,0,7,1,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0250 | 0.0000 | 0.0750
