strategy,num_problems,num_passed,pass_rate,mean_test_pass_ratio,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,mean_generation_time,mean_execution_time,mean_total_runtime
Direct,50,7,0.14,0.37419413919413924,631.72,267.26,898.98,2.4458221228350885,6.931557924199151,9.37738004703424
Self-Plan,50,8,0.16,0.3459249084249085,1542.32,468.1,2010.42,4.301463931481121,6.101147761959583,10.402611693440704
Teacher-Plan,50,24,0.48,0.5835137362637363,850.8,227.6,1078.4,2.1004733635787853,1.5518990784173365,3.6523724419961217
