strategy,difficulty,num_problems,num_passed,pass_rate,mean_test_pass_ratio,mean_total_tokens,mean_generation_time
Direct,easy,19,6,0.3157894736842105,0.5699802390591865,629.3684210526316,1.4054273469496126
Self-Plan,easy,19,8,0.42105263157894735,0.5735106998264893,1597.7894736842106,3.3203902238900285
Teacher-Plan,easy,19,15,0.7894736842105263,0.8591478696741854,771.1052631578947,1.063857769520071
Direct,medium,18,1,0.05555555555555555,0.2842592592592592,969.7777777777778,2.3553056718826864
Self-Plan,medium,18,0,0.0,0.2560464997964998,2221.5,4.6758882018976795
Teacher-Plan,medium,18,5,0.2777777777777778,0.4806598494098494,1188.5,2.2914000531697334
Direct,hard,13,0,0.0,0.2125704423781347,1195.0,4.091729573524879
Self-Plan,hard,13,0,0.0,0.13774654832347139,2321.230769230769,5.216907283537484
Teacher-Plan,hard,13,4,0.3076923076923077,0.3230769230769231,1375.076923076923,3.351166892384824
