comparison,mean_prompt_tokens_multiplier,mean_completion_tokens_multiplier,mean_total_tokens_multiplier,mean_generation_time_multiplier,mean_total_runtime_multiplier
Self-Plan / Direct,2.441461406952447,1.7514779615355835,2.2363345124474403,1.7586985951762732,1.1093302864194687
Teacher-Plan / Direct,1.3467992148420185,0.8516051784778867,1.1995817482035196,0.8588005415308002,0.38948751396198855
Teacher-Plan / Self-Plan,0.5516364956688625,0.4862208929715872,0.5364053282398703,0.48831593081742536,0.35110148774457284
