comparison,mean_prompt_tokens_multiplier,mean_completion_tokens_multiplier,mean_total_tokens_multiplier,mean_generation_time_multiplier,mean_total_runtime_multiplier
Self-Plan / Direct,2.4662745163572355,2.2362506632888857,2.4097981037555054,2.6900135554896174,1.003205175798153
Teacher-Plan / Direct,1.500654512235201,1.2171992947741392,1.4310594089365565,1.5628968711629925,0.6368312296802677
Teacher-Plan / Self-Plan,0.6084701854081169,0.5443036036863538,0.5938503340617408,0.5809996265533781,0.6347965949972326
