strategy,num_problems,num_passed,pass_rate,mean_test_pass_ratio,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,mean_generation_time,mean_execution_time,mean_total_runtime
Direct,300,69,0.23,0.38675335445152087,598.41,194.73666666666668,793.1466666666666,2.077408995871665,18.334324747278977,20.41173374315064
Self-Plan,300,49,0.16333333333333333,0.3276091889995969,1475.8433333333332,435.48,1911.3233333333333,5.588258359190853,14.888898578951679,20.47715693814253
Teacher-Plan,300,85,0.2833333333333333,0.4164884182813566,898.0066666666667,237.03333333333333,1135.04,3.246776019773679,9.752053479783159,12.998829499556837
