strategy,difficulty,num_problems,num_passed,pass_rate,mean_test_pass_ratio,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,mean_generation_time,mean_execution_time,mean_total_runtime
Direct,easy,100,57,0.57,0.6934911749303748,457.39,124.9,582.29,1.170460886292858,6.0989223451120775,7.269383231404936
Self-Plan,easy,100,42,0.42,0.596285223757284,1174.69,327.66,1502.35,4.439642600717488,9.342556852877605,13.782199453595094
Teacher-Plan,easy,100,69,0.69,0.7836577510840105,712.1,103.55,815.65,1.4490172148135025,4.923940894502448,6.372958109315951
Direct,medium,100,8,0.08,0.25844024709639685,623.04,196.93,819.97,2.1648141608259177,27.480614948559086,29.645429109385006
Self-Plan,medium,100,4,0.04,0.1807642703973531,1527.75,443.67,1971.42,5.700568360685138,17.327052621649344,23.027620982334483
Teacher-Plan,medium,100,14,0.14,0.2964660563060201,930.5,231.57,1162.07,3.2800961098761765,13.6916980861919,16.971794196068075
Direct,hard,100,4,0.04,0.2083286413277905,714.8,262.38,977.18,2.896951940496219,21.42343694816576,24.32038888866198
Self-Plan,hard,100,3,0.03,0.20577807284415325,1725.09,535.11,2260.2,6.624564116169932,17.997086262328086,24.621650378498018
Teacher-Plan,hard,100,2,0.02,0.16934144745403962,1051.42,375.98,1427.4,5.011214734631357,10.64052145865513,15.651736193286489
