difficulty,num_failures,mean_teacher_test_pass_ratio,median_teacher_test_pass_ratio,mean_teacher_total_tokens,mean_teacher_generation_time
easy,4,0.33095238095238094,0.3285714285714285,814.75,1.1892600012506591
medium,13,0.28091363764440686,0.0666666666666666,1267.0,2.534791887688558
hard,9,0.022222222222222223,0.0,1501.111111111111,3.906428997663574
