step,reward_mean,reward_min,reward_max,advantage_mean,advantage_min,advantage_max,entropy,pg_loss,grad_norm,response_length_mean,generation_time,actor_update_time,step_time,group_type,reward_variable,positive_reward,effective_update
26,0.875,0.0,1.0,0.012804406695067883,-2.561730146408081,0.3659614622592926,0.6068095564842224,-0.012804392725229263,0.15998271107673645,187.5625,117.01054179295897,4.096470317337662,127.35123205697164,mixed,True,True,True
27,0.0,0.0,0.0,0.0,0.0,0.0,0.7030611038208008,0.0,0.0,249.625,233.01506790798157,6.789382412098348,245.7882165480405,all_zero,False,False,False
28,0.6166667342185974,0.0,1.0,0.1128399595618248,-1.6403141021728516,1.019654393196106,0.6776667833328247,-0.11283991485834122,0.1764363944530487,213.875,158.01005406910554,4.794038264080882,168.00449061207473,mixed,True,True,True
29,0.42500001192092896,0.0,0.8666666746139526,0.056462451815605164,-1.4028741121292114,1.4578888416290283,0.8441304564476013,-0.05646241828799248,0.16328200697898865,249.375,58.00377041101456,5.944055971223861,69.50462967716157,mixed,True,True,True
30,0.20000001788139343,0.0,0.4000000059604645,-0.030741265043616295,-0.9682412147521973,0.9682410359382629,0.7911120653152466,0.030741284601390362,0.15384842455387115,285.4375,79.00554449576885,5.753879467025399,90.23951733810827,mixed,True,True,True
31,0.0,0.0,0.0,0.0,0.0,0.0,0.7436696887016296,0.0,0.0,309.25,61.00418404908851,4.867799025028944,71.16985181439668,all_zero,False,False,False
32,0.28333333134651184,0.06666667014360428,0.6666666865348816,-0.028353944420814514,-1.3194886445999146,2.334480047225952,0.632729172706604,0.028353936970233917,0.13774271309375763,339.625,396.0236221658997,5.45023309905082,406.8950993400067,mixed,True,True,True
33,0.0,0.0,0.0,0.0,0.0,0.0,0.6895530223846436,0.0,0.0,273.1875,73.00476049119607,6.5162783856503665,85.278633993119,all_zero,False,False,False
34,0.22500000894069672,0.0,0.800000011920929,-0.08596950024366379,-0.9342578053474426,2.387547492980957,0.7016149759292603,0.08596950024366379,0.14361608028411865,276.4375,217.013291480951,7.185943034011871,230.17920012632385,mixed,True,True,True
35,0.02500000223517418,0.0,0.2666666805744171,0.1920580416917801,-0.344724178314209,3.332333564758301,0.5704259872436523,-0.19205813854932785,0.12118986994028091,290.0625,56.003745385911316,5.9942771922796965,67.57214062800631,mixed,True,True,True
36,0.05000000074505806,0.0,0.20000000298023224,0.09022641181945801,-0.5590107440948486,1.677032232284546,0.8955191373825073,-0.09022627770900726,0.19755998253822327,213.75,398.0267378552817,5.731322932057083,409.27820491511375,mixed,True,True,True
37,0.0,0.0,0.0,0.0,0.0,0.0,0.8162205815315247,0.0,0.0,310.4375,69.00490491092205,7.254688162822276,82.25283918902278,all_zero,False,False,False
38,0.0,0.0,0.0,0.0,0.0,0.0,0.8318773508071899,0.0,0.0,235.3125,66.0048539750278,5.424939726945013,76.83049268787727,all_zero,False,False,False
39,0.17916667461395264,0.0,1.0,-0.05451546981930733,-0.8092359900474548,3.707429885864258,0.6808498501777649,0.054515451192855835,0.1392374038696289,276.0625,72.00494631007314,4.788962529972196,82.19703549798578,mixed,True,True,True
40,0.4375,0.0,1.0,-0.1070157140493393,-0.8539109230041504,1.0978854894638062,0.6711044311523438,0.10701572149991989,0.14543168246746063,271.9375,103.00688578886911,6.198580096941441,114.8382736002095,mixed,True,True,True
41,0.0,0.0,0.0,0.0,0.0,0.0,0.8423564434051514,0.0,0.0,239.375,80.00548051204532,5.147426406852901,90.440631729085,all_zero,False,False,False
42,0.0,0.0,0.0,0.0,0.0,0.0,0.7736900448799133,0.0,0.0,300.5,86.00593708595261,6.78227011859417,98.63579973904416,all_zero,False,False,False
43,0.0,0.0,0.0,0.0,0.0,0.0,1.0237468481063843,0.0,0.0,276.0,123.00816001510248,8.885239346884191,138.32732018316165,all_zero,False,False,False
44,0.19166667759418488,0.0,0.46666666865348816,-0.04450288042426109,-0.8496366143226624,1.2190436124801636,0.8861210346221924,0.044502872973680496,0.16615718603134155,244.25,67.00485263997689,4.822415132075548,77.01603710278869,mixed,True,True,True
45,0.0,0.0,0.0,0.0,0.0,0.0,0.7651242017745972,0.0,0.0,287.5,61.00443410733715,6.91568544972688,73.81903978716582,all_zero,False,False,False
46,0.5374999642372131,0.0,1.0,-0.15306267142295837,-1.2823596000671387,1.1034258604049683,0.7074209451675415,0.15306267933920026,0.16245804727077484,277.0625,51.004002121742815,4.6242379527539015,60.760962375905365,mixed,True,True,True
47,0.02500000223517418,0.0,0.06666667014360428,-0.15209048986434937,-0.7499775886535645,1.249962568283081,0.7902761697769165,0.1520905550569296,0.16513267159461975,232.6875,681.0412916750647,4.555699798278511,690.7287315810099,mixed,True,True,True
48,0.4791666865348816,0.0,1.0,0.2363273799419403,-1.249367117881775,1.358007550239563,0.7823788523674011,-0.23632735013961792,0.19857707619667053,179.25,84.00612110784277,4.541351308114827,93.65148235717788,mixed,True,True,True
49,0.0,0.0,0.0,0.0,0.0,0.0,0.6570746302604675,0.0,0.0,208.375,45.00332364207134,5.053085620049387,55.31405690405518,all_zero,False,False,False
