strategy,num_problems,num_passed,pass_rate,mean_test_pass_ratio,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,mean_generation_time,mean_execution_time,mean_total_runtime
Direct,300,46,0.15333333333333332,0.326545497794229,648.7466666666667,210.85,859.5966666666667,2.265602717450432,20.907603714692716,23.17320643214315
Self-Plan,300,48,0.16,0.3311803679535435,1605.8,559.3366666666667,2165.1366666666668,7.281128971460664,18.63388611842296,25.915015089883624
Teacher-Plan,300,85,0.2833333333333333,0.40703702782671164,982.1533333333333,369.9633333333333,1352.1166666666666,4.32198600545836,12.809171408037654,17.131157413496016
