comparison,mean_prompt_tokens_multiplier,mean_completion_tokens_multiplier,mean_total_tokens_multiplier,mean_generation_time_multiplier,mean_total_runtime_multiplier
Self-Plan / Direct,2.475234297928313,2.6527705319737573,2.518782064456586,3.213771291576836,1.118318052608264
Teacher-Plan / Direct,1.5139242847747452,1.754628092640898,1.5729663912144842,1.9076539642934633,0.7392657318986158
Teacher-Plan / Self-Plan,0.6116286793706148,0.6614322918218604,0.6244948355838968,0.5935873437208637,0.6610514157170396
