strategy,difficulty,num_problems,num_passed,pass_rate,mean_test_pass_ratio,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,mean_generation_time,mean_execution_time,mean_total_runtime
Direct,easy,100,38,0.38,0.5423720058440549,501.6,133.08,634.68,1.3963243204879108,8.105063833511668,9.501388153999578
Self-Plan,easy,100,42,0.42,0.5712505174669624,1292.07,395.96,1688.03,5.582184869352496,6.375201807509875,11.95738667686237
Teacher-Plan,easy,100,70,0.7,0.7739732612009234,784.68,159.88,944.56,2.160869338741759,4.865386199116474,7.0262555378582325
Direct,medium,100,6,0.06,0.2398793608483433,676.79,218.61,895.4,2.4361239146767186,31.326647005883277,33.762770920559994
Self-Plan,medium,100,3,0.03,0.21109870935408764,1662.74,595.73,2258.47,7.435441249358701,29.129420244727516,36.564861494086216
Teacher-Plan,medium,100,14,0.14,0.3060071185152122,1019.65,346.26,1365.91,4.421256058551371,9.655770837224555,14.077026895775925
Direct,hard,100,2,0.02,0.19738512669028832,767.85,280.86,1048.71,2.964359917186666,23.291100304683205,26.25546022186987
Self-Plan,hard,100,3,0.03,0.21119187703957976,1862.59,686.32,2548.91,8.825760795670794,20.39703630303149,29.222797098702287
Teacher-Plan,hard,100,1,0.01,0.14113070376399928,1142.13,603.75,1745.88,6.38383261908195,23.90635718777194,30.29018980685389
