problem_id,transition,description,base_passed,vanilla_passed,tpr_passed,base_tpr,vanilla_tpr,tpr_tpr,vanilla_vs_base_tpr,tpr_vs_base_tpr,tpr_vs_vanilla_tpr,base_status,vanilla_status,tpr_status,base_plan_found,vanilla_plan_found,tpr_plan_found
deepcoder_taco_00212,FFF,persistent_failure,False,False,False,0.0,0.0,0.00510204081632653,0.0,0.00510204081632653,0.00510204081632653,WRONG_ANSWER,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,True,True,True
deepcoder_taco_00001,FFF,persistent_failure,False,False,False,0.0,0.038834951456310676,0.0,0.038834951456310676,0.0,-0.038834951456310676,RUNTIME_ERROR,WRONG_ANSWER,RUNTIME_ERROR,True,True,True
deepcoder_taco_00057,FFF,persistent_failure,False,False,False,0.8349514563106796,0.8349514563106796,0.8349514563106796,0.0,0.0,0.0,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,True,True,True
deepcoder_taco_00061,FFF,persistent_failure,False,False,False,0.6052631578947368,0.15789473684210525,0.6052631578947368,-0.4473684210526316,0.0,0.4473684210526316,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,True,True,True
deepcoder_taco_00064,FFF,persistent_failure,False,False,False,0.570694087403599,0.570694087403599,0.570694087403599,0.0,0.0,0.0,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,True,True,True
deepcoder_taco_00088,FFF,persistent_failure,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,TIME_LIMIT_EXCEEDED,TIME_LIMIT_EXCEEDED,TIME_LIMIT_EXCEEDED,True,True,True
deepcoder_taco_00132,FFF,persistent_failure,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,True,True,True
deepcoder_taco_00200,FFF,persistent_failure,False,False,False,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.0,0.0,0.0,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,True,True,True
deepcoder_taco_00203,FFF,persistent_failure,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,True,True,True
deepcoder_taco_00216,FFF,persistent_failure,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,True,True,True
deepcoder_taco_00229,FFF,persistent_failure,False,False,False,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.0,0.0,0.0,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,True,True,True
deepcoder_taco_00231,FFF,persistent_failure,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,True,True,True
deepcoder_taco_00239,FFF,persistent_failure,False,False,False,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.0,0.0,0.0,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,True,True,True
deepcoder_taco_00251,FFF,persistent_failure,False,False,False,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.0,0.0,0.0,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,True,True,True
deepcoder_taco_00280,FFF,persistent_failure,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,RUNTIME_ERROR,WRONG_ANSWER,RUNTIME_ERROR,True,True,True
deepcoder_taco_00301,FFF,persistent_failure,False,False,False,0.009708737864077669,0.019417475728155338,0.009708737864077669,0.009708737864077669,0.0,-0.009708737864077669,WRONG_ANSWER,RUNTIME_ERROR,WRONG_ANSWER,True,True,True
deepcoder_taco_00340,FFF,persistent_failure,False,False,False,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,True,True,True
deepcoder_taco_00379,FFF,persistent_failure,False,False,False,0.0,0.6862068965517242,0.0,0.6862068965517242,0.0,-0.6862068965517242,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,True,True,True
