problem_id,category,base_tpr,vanilla_tpr,tpr_tpr,vanilla_vs_base_tpr,tpr_vs_base_tpr,tpr_vs_vanilla_tpr,base_passed_tests,vanilla_passed_tests,tpr_passed_tests,total_tests,base_status,vanilla_status,tpr_status,qualitative_score
deepcoder_taco_00886,tpr_dominant_improvement,0.0297029702970297,0.04950495049504951,0.07920792079207921,0.019801980198019806,0.04950495049504951,0.0297029702970297,3,5,8,101,RUNTIME_ERROR,WRONG_ANSWER,WRONG_ANSWER,0.06435643564356436
deepcoder_taco_00001,vanilla_only_improvement,0.0,0.038834951456310676,0.0,0.038834951456310676,0.0,-0.038834951456310676,0,4,0,103,RUNTIME_ERROR,WRONG_ANSWER,RUNTIME_ERROR,0.058252427184466014
deepcoder_taco_00907,both_degraded,0.05,0.0,0.0,-0.05,-0.05,0.0,4,0,0,80,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.05
deepcoder_taco_00691,vanilla_degraded,0.030303030303030304,0.0,0.030303030303030304,-0.030303030303030304,0.0,0.030303030303030304,3,0,3,99,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.045454545454545456
deepcoder_taco_00472,tpr_dominant_improvement,0.04918032786885246,0.07377049180327869,0.08196721311475409,0.02459016393442623,0.032786885245901634,0.008196721311475405,6,9,10,122,TIME_LIMIT_EXCEEDED,TIME_LIMIT_EXCEEDED,RUNTIME_ERROR,0.03688524590163934
deepcoder_taco_00171,tpr_only_improvement,0.43478260869565216,0.43478260869565216,0.45652173913043476,0.0,0.021739130434782594,0.021739130434782594,40,40,42,92,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.03260869565217389
deepcoder_taco_01082,both_equal_improvement,0.009259259259259259,0.027777777777777776,0.027777777777777776,0.018518518518518517,0.018518518518518517,0.0,1,3,3,108,RUNTIME_ERROR,WRONG_ANSWER,WRONG_ANSWER,0.018518518518518517
deepcoder_taco_00583,tpr_only_improvement,0.0,0.0,0.00980392156862745,0.0,0.00980392156862745,0.00980392156862745,0,0,1,102,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.014705882352941176
deepcoder_taco_00301,vanilla_only_improvement,0.009708737864077669,0.019417475728155338,0.009708737864077669,0.009708737864077669,0.0,-0.009708737864077669,1,2,1,103,WRONG_ANSWER,RUNTIME_ERROR,WRONG_ANSWER,0.014563106796116504
deepcoder_taco_00575,tpr_only_improvement,0.0,0.0,0.009708737864077669,0.0,0.009708737864077669,0.009708737864077669,0,0,1,103,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.014563106796116504
