algorithm_category,count,proportion
Counting / Combinatorics,3,0.1875
Brute Force / Enumeration,2,0.125
Math / Arithmetic,2,0.125
String / Simulation,1,0.0625
Greedy,1,0.0625
String / Counting,1,0.0625
Math / Game Theory,1,0.0625
Dynamic Programming,1,0.0625
Sorting / Binary Search,1,0.0625
Graph / Tree BFS,1,0.0625
Grid / Simulation,1,0.0625
Stack / String Processing,1,0.0625
