comparison,mean_prompt_tokens_multiplier,mean_completion_tokens_multiplier,mean_total_tokens_multiplier,mean_generation_time_multiplier,mean_total_runtime_multiplier
Self-Plan / Direct,2.48229858890879,1.449373917023572,2.132528119741387,1.4308820701682334,1.0918035708572866
Teacher-Plan / Direct,1.5115359077796935,0.8457950545438694,1.2861017624656808,0.8487184310336414,0.6193350949365806
Teacher-Plan / Self-Plan,0.6089259021994448,0.5835589040271888,0.6030878329621496,0.5931435222567678,0.5672587189381302
