strategy,difficulty,num_problems,num_passed,pass_rate,mean_test_pass_ratio,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,mean_generation_time,mean_execution_time,mean_total_runtime
Direct,easy,100,56,0.56,0.7001414874219116,456.39,125.62,582.01,1.483684118631063,3.79389433579403,5.277578454425093
Self-Plan,easy,100,46,0.46,0.5993848390334279,1181.95,332.81,1514.76,3.8097710623766763,10.881648041688605,14.69141910406528
Teacher-Plan,easy,100,70,0.7,0.7886595628391383,717.1,114.99,832.09,1.174646285182098,3.1769273067754695,4.3515735919575675
Direct,medium,100,6,0.06,0.23239645459666528,622.04,323.99,946.03,3.74859185315785,28.37299713457818,32.12158898773603
Self-Plan,medium,100,6,0.06,0.22863561145292582,1533.93,453.1,1987.03,4.485974638812476,20.927413726986853,25.413388365799328
Teacher-Plan,medium,100,16,0.16,0.3063798552745441,935.5,245.63,1181.13,2.8596820253587794,11.73507175652776,14.594753781886538
Direct,hard,100,3,0.03,0.18304362194180684,713.8,468.0,1181.8,5.002042789177503,20.06852104399586,25.070563833173363
Self-Plan,hard,100,2,0.02,0.1648707130456989,1732.97,544.05,2277.02,6.3483575142640625,21.751510692776648,28.099868207040707
Teacher-Plan,hard,100,1,0.01,0.13344812684007237,1056.42,415.49,1471.91,4.651726650964702,15.09164292526315,19.743369576227852
