strategy,num_problems,num_passed,pass_rate,mean_test_pass_ratio,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,mean_generation_time,mean_execution_time,mean_total_runtime
Direct,300,65,0.21666666666666667,0.3718605213201276,597.41,305.87,903.28,3.4114395869888057,17.411804171456023,20.82324375844483
Self-Plan,300,54,0.18,0.3309637211773508,1482.95,443.32,1926.27,4.881367738484405,17.853524153817368,22.73489189230177
Teacher-Plan,300,87,0.29,0.4094958483179181,903.0066666666667,258.7033333333333,1161.71,2.895351653835193,10.001213996188794,12.896565650023986
