difficulty,num_failures,mean_test_pass_ratio,mean_total_tokens,mean_generation_time
easy,4,0.33095238095238094,814.75,1.1892600012506591
medium,13,0.28091363764440686,1267.0,2.534791887688558
hard,9,0.022222222222222223,1501.111111111111,3.906428997663574
