comparison,mean_prompt_tokens_multiplier,mean_completion_tokens_multiplier,mean_total_tokens_multiplier,mean_generation_time_multiplier,mean_total_runtime_multiplier
Self-Plan / Direct,2.3243874043994364,2.219129078859868,2.3038156786117634,2.713569026101879,1.3655991683173585
Teacher-Plan / Direct,1.500654512235201,1.580338920864959,1.5162280623128912,1.9051486346919833,0.8827155358527652
Teacher-Plan / Self-Plan,0.6456129083279613,0.7121437576208486,0.6581377479063525,0.7020822453257379,0.6463943127179955
