strategy,difficulty,num_problems,num_passed,pass_rate,mean_test_pass_ratio,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,mean_generation_time,mean_execution_time,mean_total_runtime
Direct,easy,100,36,0.36,0.5461138062520571,457.39,77.77,535.16,0.8003056146902964,5.751106336120284,6.5514119508105795
Self-Plan,easy,100,31,0.31,0.503292434053413,1096.23,242.07,1338.3,3.4903091704507823,6.56811946121743,10.058428631668212
Teacher-Plan,easy,100,58,0.58,0.6968306686784226,712.1,99.13,811.23,1.580858865211485,5.160468202109914,6.741327067321399
Direct,medium,100,3,0.03,0.2254591805838201,623.04,155.64,778.68,1.6880569384677802,27.80442159345141,29.492478531919186
Self-Plan,medium,100,1,0.01,0.1510138477267018,1441.65,330.74,1772.39,4.395875142415752,36.76350414073444,41.159379283150194
Teacher-Plan,medium,100,8,0.08,0.22801875285293263,930.5,218.78,1149.28,3.056541233320022,12.178125380849233,15.234666614169255
Direct,hard,100,0,0.0,0.1424516005202335,714.8,202.68,917.48,2.3179079647967593,15.542340578105067,17.86024854290183
Self-Plan,hard,100,0,0.0,0.16666246166387963,1634.93,394.93,2029.86,5.155962495722342,17.237677011725026,22.393639507447368
Teacher-Plan,hard,100,1,0.01,0.10241366546102793,1051.42,371.26,1422.68,4.519259616710478,21.086767666491212,25.606027283201694
