strategy,num_problems,num_passed,pass_rate,mean_test_pass_ratio,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,mean_generation_time,mean_execution_time,mean_total_runtime
Direct,300,39,0.13,0.30467486245203695,598.41,145.36333333333334,743.7733333333333,1.602090172651612,16.365956169225587,17.968046341877198
Self-Plan,300,32,0.10666666666666667,0.2736562478146649,1390.9366666666667,322.58,1713.5166666666667,4.347382269529626,20.189766871225633,24.537149140755258
Teacher-Plan,300,67,0.22333333333333333,0.34242102899746113,898.0066666666667,229.72333333333333,1127.73,3.052219905080662,12.808453749816787,15.860673654897449
