comparison,mean_prompt_tokens_multiplier,mean_completion_tokens_multiplier,mean_total_tokens_multiplier,mean_generation_time_multiplier,mean_total_runtime_multiplier
Self-Plan / Direct,2.4497505572319325,1.430715765040812,2.1119372529014155,1.438042905453262,0.9590566468492965
Teacher-Plan / Direct,1.3586061729533452,0.7665219705178925,1.1623283594779577,0.7709109057395451,0.582247494091001
Teacher-Plan / Self-Plan,0.5545895964560925,0.5357611827923257,0.5503612182990432,0.536083383059116,0.6071043832539056
