strategy,num_problems,num_passed,pass_rate,mean_test_pass_ratio,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,mean_generation_time,mean_execution_time,mean_total_runtime
Direct,500,93,0.186,0.3341439266982333,629.002,311.918,940.92,2.849889248517342,13.801428223705617,16.65131747222296
Self-Plan,500,84,0.168,0.3034679770397145,1540.898,446.266,1987.164,4.098263015157892,11.871293685375363,15.969556700533255
Teacher-Plan,500,170,0.34,0.44251744246018265,854.566,239.092,1093.658,2.197010701831896,7.498177169683622,9.695187871515518
