strategy,difficulty,num_problems,num_passed,pass_rate,mean_test_pass_ratio,mean_total_tokens,mean_generation_time
Direct,easy,162,82,0.5061728395061729,0.6623391246316128,598.6296296296297,1.226758675704736
Self-Plan,easy,162,79,0.4876543209876543,0.6333860361019669,1530.969135802469,3.0336771413125527
Teacher-Plan,easy,162,121,0.7469135802469136,0.826637531088236,743.4444444444445,1.015335574924348
Direct,medium,150,7,0.04666666666666667,0.2066508667736576,977.0333333333333,2.938671179539912
Self-Plan,medium,150,4,0.02666666666666667,0.18525426325336886,2057.14,4.269609768840406
Teacher-Plan,medium,150,40,0.26666666666666666,0.40118433143192406,1121.5133333333333,2.2007462920302836
Direct,hard,188,4,0.02127659574468085,0.1530606124614187,1207.0585106382978,4.177707669486792
Self-Plan,hard,188,1,0.005319148936170213,0.11349633608156,2324.436170212766,4.878906092341764
Teacher-Plan,hard,188,9,0.047872340425531915,0.14449889084578985,1373.212765957447,3.2122821487960693
