comparison,transition,count
Direct_TO_Self-Plan,FAIL_TO_PASS,19
Direct_TO_Self-Plan,PASS_TO_PASS,65
Direct_TO_Self-Plan,PASS_TO_FAIL,28
Direct_TO_Self-Plan,FAIL_TO_FAIL,388
Direct_TO_Teacher-Plan,FAIL_TO_PASS,91
Direct_TO_Teacher-Plan,PASS_TO_PASS,79
Direct_TO_Teacher-Plan,PASS_TO_FAIL,14
Direct_TO_Teacher-Plan,FAIL_TO_FAIL,316
Self-Plan_TO_Teacher-Plan,FAIL_TO_PASS,96
Self-Plan_TO_Teacher-Plan,PASS_TO_PASS,74
Self-Plan_TO_Teacher-Plan,PASS_TO_FAIL,10
Self-Plan_TO_Teacher-Plan,FAIL_TO_FAIL,320
